DATE,Financial Quarter,Employement Rate
01-01-2005,Q1 2005,65.19444
01-04-2005,Q2 2005,65.19944
01-07-2005,Q3 2005,65.5234
01-10-2005,Q4 2005,65.89368
01-01-2006,Q1 2006,66.40794
01-04-2006,Q2 2006,66.9909
01-07-2006,Q3 2006,67.47513
01-10-2006,Q4 2006,67.7817
01-01-2007,Q1 2007,68.48769
01-04-2007,Q2 2007,68.81258
01-07-2007,Q3 2007,69.18359
01-10-2007,Q4 2007,69.36181
01-01-2008,Q1 2008,69.81321
01-04-2008,Q2 2008,69.80685
01-07-2008,Q3 2008,70.35694
01-10-2008,Q4 2008,70.43853
01-01-2009,Q1 2009,69.00829
01-04-2009,Q2 2009,69.12833
01-07-2009,Q3 2009,69.37983
01-10-2009,Q4 2009,70.07546
01-01-2010,Q1 2010,69.75014
01-04-2010,Q2 2010,70.18045
01-07-2010,Q3 2010,70.57491
01-10-2010,Q4 2010,70.75922
01-01-2011,Q1 2011,71.15343
01-04-2011,Q2 2011,71.72185
01-07-2011,Q3 2011,71.93168
01-10-2011,Q4 2011,72.25514
01-01-2012,Q1 2012,71.70702
01-04-2012,Q2 2012,71.9874
01-07-2012,Q3 2012,72.22818
01-10-2012,Q4 2012,72.25556
01-01-2013,Q1 2013,72.26897
01-04-2013,Q2 2013,72.64505
01-07-2013,Q3 2013,72.56509
01-10-2013,Q4 2013,72.60611
01-01-2014,Q1 2014,72.63294
01-04-2014,Q2 2014,72.85706
01-07-2014,Q3 2014,72.94302
01-10-2014,Q4 2014,72.81293
01-01-2015,Q1 2015,73.15414
01-04-2015,Q2 2015,72.91737
01-07-2015,Q3 2015,72.86538
01-10-2015,Q4 2015,73.01367
01-01-2016,Q1 2016,73.56706
01-04-2016,Q2 2016,73.44441
01-07-2016,Q3 2016,73.80584
01-10-2016,Q4 2016,73.84045
01-01-2017,Q1 2017,74.00808
01-04-2017,Q2 2017,74.08771
01-07-2017,Q3 2017,74.41087
01-10-2017,Q4 2017,74.49671
01-01-2018,Q1 2018,74.77573
01-04-2018,Q2 2018,74.69547
01-07-2018,Q3 2018,75.06231
01-10-2018,Q4 2018,75.12232
01-01-2019,Q1 2019,75.64921
01-04-2019,Q2 2019,75.63123
01-07-2019,Q3 2019,75.63976
01-10-2019,Q4 2019,75.79051
01-01-2020,Q1 2020,74.51521
01-04-2020,Q2 2020,74.14284
01-07-2020,Q3 2020,74.11106
01-10-2020,Q4 2020,74.66435
01-01-2021,Q1 2021,74.60744
01-04-2021,Q2 2021,75.28194
01-07-2021,Q3 2021,76.12936
01-10-2021,Q4 2021,76.32097
01-01-2022,Q1 2022,76.66319
01-04-2022,Q2 2022,76.88236
01-07-2022,Q3 2022,76.87084
01-10-2022,Q4 2022,77.16068
01-01-2023,Q1 2023,77.36693
01-04-2023,Q2 2023,77.45164
01-07-2023,Q3 2023,77.32232
01-10-2023,Q4 2023,77.34276
